Ticker	Date	From	To
AGQ	2011-10-13	2	1
AGQ	2014-01-24	1	4
EEM	2005-06-09	3	1
EEM	2008-07-24	3	1
EFA	2005-06-09	3	1
ERY	2010-07-08	1	5
ERY	2013-04-02	1	6
EWI	2016-11-07	1	2
EWJ	2016-11-07	1	4
EWU	2016-11-07	1	2
FAS	2009-07-09	1	5
FAS	2010-05-05	3	1
FAS	2011-11-10	1	5
FAS	2013-04-02	3	1
FAS	2015-05-20	4	1
FAZ	2009-07-09	1	10
FAZ	2011-02-24	1	5
FAZ	2013-04-02	1	4
FAZ	2015-10-01	1	4
IWM	2005-06-09	2	1
IWN	2005-06-09	3	1
RWR	2005-09-22	3	1
SDS	2012-10-05	1	4
SLV	2008-07-24	10	1
SVXY	2012-10-05	2	1
SVXY	2014-01-24	2	1
TBT	2012-10-05	1	4
TNA	2013-04-02	2	1
TVIX	2012-12-21	1	10
TVIX	2013-08-30	1	10
TVIX	2015-06-23	1	10
TVIX	2016-08-09	1	25
TZA	2010-07-08	1	5
TZA	2011-02-24	1	3
TZA	2013-04-02	1	4
TZA	2015-10-01	1	4
UNG	2011-03-09	1	2
UNG	2012-02-22	1	4
UVXY	2012-03-08	1	6
UVXY	2012-09-07	1	10
UVXY	2013-06-10	1	10
UVXY	2014-01-24	1	4
UVXY	2015-05-20	1	5
UVXY	2016-07-25	1	5
UVXY	2017-01-12	1	5
VXX	2010-11-09	1	4
VXX	2012-10-05	1	4
VXX	2013-11-08	1	4
VXX	2016-08-09	1	4
XIV	2011-06-27	10	1
XLF	2016-09-19	1231	1000
ZSL	2010-04-15	1	10
ZSL	2011-02-25	1	4
ZSL	2012-05-11	1	5
ZSL	2015-11-13	2	1
PCLN	2003-06-16	1	6
EZA	2008-07-24	2	1
UWTI	2015-09-10	1	10
UWTI	2016-03-14	1	10
